order-id,purchase-date,sku,quantity-purchased
114-0127146-6884244,2022-07-21T10:53:28-07:00,791193,10.0
113-1010020-7308232,2022-07-21T11:06:07-07:00,724500,2.0
112-7079166-4004249,2022-07-21T11:10:05-07:00,24304,1.0
114-4487152-2447440,2022-07-21T11:16:48-07:00,36500,4.0
114-3042096-7910600,2022-07-21T11:18:15-07:00,771851,4.0
112-7374542-0789840,2022-07-21T11:24:40-07:00,36500,1.0
112-6681126-6755458,2022-07-21T11:52:01-07:00,724500,1.0
113-5570048-5141829,2022-07-21T12:00:38-07:00,771851,2.0
111-0061186-9677838,2022-07-21T12:00:27-07:00,791192,2.0
113-5796077-0289852,2022-07-21T11:54:28-07:00,724300,1.0
114-3021511-3104248,2022-07-21T12:05:39-07:00,724150,1.0
111-5955843-8281057,2022-07-21T12:20:14-07:00,791193,1.0
113-3106045-6277055,2022-07-21T12:24:52-07:00,791193,1.0
113-1595151-5190619,2022-07-21T12:29:23-07:00,24124,2.0
114-8978134-4463434,2022-07-21T12:31:54-07:00,724500,1.0
113-8465601-6133812,2022-07-21T12:42:33-07:00,36500,1.0
113-6404368-6442636,2022-07-21T12:52:09-07:00,30650,1.0
114-7863275-2288264,2022-07-21T12:54:20-07:00,36500,4.0
111-2705188-1189818,2022-07-21T12:58:31-07:00,10311C,3.0
114-6201824-7818607,2022-07-21T12:56:20-07:00,24124,1.0
111-1598215-3581040,2022-07-21T12:56:47-07:00,771851,1.0
112-3511375-1972218,2022-07-21T13:13:50-07:00,724300,1.0
111-4564930-8215422,2022-07-21T14:13:43-07:00,30150,2.0
112-0718379-1465837,2022-07-21T14:10:00-07:00,730300,1.0
111-4953268-9889022,2022-07-21T14:43:35-07:00,799388,5.0
112-5641552-0502645,2022-07-21T14:56:47-07:00,791192,2.0
111-3771475-9881835,2022-07-21T15:31:11-07:00,791193,1.0
112-8551452-3633002,2022-07-21T15:44:41-07:00,36500,2.0
111-2206702-3114647,2022-07-21T16:09:30-07:00,36500,1.0
112-5086732-4949868,2022-07-21T16:44:50-07:00,724500,2.0
111-4187211-6344246,2022-07-21T17:46:03-07:00,17500,2.0
112-2221370-6320253,2022-07-21T17:51:17-07:00,112000PLT,1.0
112-4664255-2802612,2022-07-21T17:54:46-07:00,724300,1.0
111-8144819-2716264,2022-07-21T19:20:39-07:00,499703,1.0
111-1274247-4601834,2022-07-22T02:55:29-07:00,724500,1.0
114-2736997-9979405,2022-07-22T05:01:05-07:00,24153,1.0
114-9393960-6217034,2022-07-22T05:03:51-07:00,24124,7.0
113-9814204-7448258,2022-07-22T05:51:29-07:00,10316,1.0
114-9813776-5341837,2022-07-22T05:51:50-07:00,36500,1.0
113-6908926-7347445,2022-07-22T05:55:25-07:00,724150,1.0
113-3761767-7654608,2022-07-22T07:16:41-07:00,791192,2.0
112-1386807-3664268,2022-07-22T07:28:42-07:00,724150,2.0
114-5342014-3908268,2022-07-22T07:33:29-07:00,724300,2.0
111-3995137-7033029,2022-07-22T07:38:59-07:00,36500,2.0
112-3096879-6405043,2022-07-22T07:42:17-07:00,36500,4.0
114-6784232-1640225,2022-07-22T07:45:00-07:00,724500,1.0
112-3243499-3554607,2022-07-22T07:49:24-07:00,791192,1.0
112-3058932-6596204,2022-07-22T07:52:56-07:00,779112,1.0
114-8904546-3704257,2022-07-22T07:58:53-07:00,10336C,2.0
114-8569598-5197809,2022-07-22T08:11:04-07:00,724500,1.0
112-1775472-3640252,2022-07-22T08:14:43-07:00,24124,1.0
114-6568767-7230659,2022-07-22T08:18:37-07:00,724300,1.0
111-1927271-0431426,2022-07-22T08:40:46-07:00,30150,1.0
111-8434372-6183468,2022-07-22T08:46:36-07:00,791193,2.0
111-8277595-9512245,2022-07-22T09:07:40-07:00,791193,2.0
112-0293722-6601055,2022-07-22T09:50:48-07:00,724300,2.0
111-1102029-5679418,2022-07-22T09:56:00-07:00,36500,1.0
113-2109163-9105030,2022-07-22T10:04:25-07:00,724304,2.0
111-1378036-3984220,2022-07-22T10:08:15-07:00,36150,1.0
114-2289653-4661003,2022-07-22T10:16:30-07:00,42154,1.0
113-8124821-0313029,2022-07-22T10:23:55-07:00,36500,2.0
113-3570920-8515410,2022-07-22T10:34:12-07:00,773409,1.0
114-6907703-6161022,2022-07-22T10:39:59-07:00,791193,2.0
113-0056978-0743424,2022-07-22T10:42:27-07:00,36500,1.0
112-8817697-3560251,2022-07-22T10:45:28-07:00,724304,1.0
114-5168679-1340265,2022-07-22T10:51:44-07:00,777852,1.0
114-4239470-6518658,2022-07-22T10:57:46-07:00,36153,1.0
112-0938773-9379406,2022-07-22T11:29:40-07:00,791192,1.0
114-1961120-5273841,2022-07-22T11:48:41-07:00,771851,4.0
114-6743922-8547407,2022-07-22T11:51:58-07:00,27-1TVA-IET3,2.0
113-8555458-3753015,2022-07-22T11:51:13-07:00,36500,1.0
111-9358856-9249858,2022-07-22T12:02:50-07:00,36500,1.0
113-0006253-7243478,2022-07-22T12:02:52-07:00,773201,2.0
112-4904861-3909011,2022-07-22T12:14:40-07:00,12500,1.0
112-9098937-6120206,2022-07-22T12:22:56-07:00,16200,1.0
111-9840029-3496248,2022-07-22T12:30:47-07:00,724500,2.0
111-9840029-3496248,2022-07-22T12:30:47-07:00,36500,2.0
114-4705138-6871455,2022-07-22T12:37:49-07:00,791192,1.0
114-2187831-8816224,2022-07-22T13:34:25-07:00,791193,3.0
114-1576420-0685064,2022-07-22T13:10:27-07:00,95029,1.0
111-2975522-3843440,2022-07-22T13:47:26-07:00,71850,1.0
111-8608866-3553869,2022-07-22T14:41:56-07:00,724150,1.0
111-8301964-0450615,2022-07-22T14:42:59-07:00,2866,1.0
112-7383202-2255469,2022-07-22T16:02:57-07:00,30150,1.0
114-7846288-4561861,2022-07-22T16:25:04-07:00,771851,1.0
113-5429720-8149835,2022-07-22T16:31:01-07:00,24124,2.0
113-2754588-0194652,2022-07-22T17:35:22-07:00,791193,1.0
113-4878893-3026624,2022-07-22T17:25:32-07:00,36500,4.0
114-0440130-4882647,2022-07-22T17:55:22-07:00,15001,1.0
114-4914710-0139427,2022-07-22T18:43:07-07:00,724304,1.0
112-8967276-6027462,2022-07-22T19:01:41-07:00,773409,1.0
111-0639210-6293820,2022-07-22T20:40:43-07:00,773410,1.0
112-6613562-0233864,2022-07-22T21:08:45-07:00,30150,1.0
